#timebase=4000000(ps)
,#voltbase=2000000(mv/100)
#size=4000
-2.960E-05,0.080
-2.958E-05,0.080
-2.956E-05,0.160
-2.954E-05,0.080
-2.952E-05,0.080
-2.950E-05,0.080
-2.948E-05,0.160
-2.946E-05,0.080
-2.944E-05,0.080
-2.942E-05,0.080
-2.940E-05,0.160
-2.938E-05,0.160
-2.936E-05,0.160
-2.934E-05,0.080
-2.932E-05,0.160
-2.930E-05,0.160
-2.928E-05,0.080
-2.926E-05,0.080
-2.924E-05,0.080
-2.922E-05,0.080
-2.920E-05,0.160
-2.918E-05,0.080
-2.916E-05,0.080
-2.914E-05,0.080
-2.912E-05,0.160
-2.910E-05,0.080
-2.908E-05,0.080
-2.906E-05,0.160
-2.904E-05,0.080
-2.902E-05,0.160
-2.900E-05,0.080
-2.898E-05,0.080
-2.896E-05,0.160
-2.894E-05,0.080
-2.892E-05,0.080
-2.890E-05,0.000
-2.888E-05,0.000
-2.886E-05,0.080
-2.884E-05,0.080
-2.882E-05,0.000
-2.880E-05,0.160
-2.878E-05,0.160
-2.876E-05,0.080
-2.874E-05,0.160
-2.872E-05,0.000
-2.870E-05,0.160
-2.868E-05,0.000
-2.866E-05,0.160
-2.864E-05,0.080
-2.862E-05,0.080
-2.860E-05,-0.080
-2.858E-05,0.080
-2.856E-05,0.160
-2.854E-05,0.000
-2.852E-05,0.080
-2.850E-05,0.080
-2.848E-05,0.080
-2.846E-05,0.080
-2.844E-05,0.160
-2.842E-05,0.080
-2.840E-05,0.080
-2.838E-05,0.080
-2.836E-05,0.080
-2.834E-05,0.160
-2.832E-05,0.000
-2.830E-05,-0.080
-2.828E-05,0.080
-2.826E-05,0.160
-2.824E-05,0.160
-2.822E-05,0.080
-2.820E-05,0.160
-2.818E-05,0.160
-2.816E-05,0.080
-2.814E-05,0.080
-2.812E-05,0.080
-2.810E-05,0.080
-2.808E-05,0.160
-2.806E-05,-0.080
-2.804E-05,0.080
-2.802E-05,0.160
-2.800E-05,0.160
-2.798E-05,0.080
-2.796E-05,0.160
-2.794E-05,0.160
-2.792E-05,0.080
-2.790E-05,0.160
-2.788E-05,0.160
-2.786E-05,0.160
-2.784E-05,0.080
-2.782E-05,0.080
-2.780E-05,0.000
-2.778E-05,0.160
-2.776E-05,0.160
-2.774E-05,0.080
-2.772E-05,0.160
-2.770E-05,0.160
-2.768E-05,0.080
-2.766E-05,0.080
-2.764E-05,0.080
-2.762E-05,0.160
-2.760E-05,0.080
-2.758E-05,0.160
-2.756E-05,0.080
-2.754E-05,0.080
-2.752E-05,0.160
-2.750E-05,0.160
-2.748E-05,0.000
-2.746E-05,0.080
-2.744E-05,0.160
-2.742E-05,0.160
-2.740E-05,0.080
-2.738E-05,0.080
-2.736E-05,0.080
-2.734E-05,0.160
-2.732E-05,0.080
-2.730E-05,0.080
-2.728E-05,0.160
-2.726E-05,0.080
-2.724E-05,0.080
-2.722E-05,0.080
-2.720E-05,0.080
-2.718E-05,0.080
-2.716E-05,0.000
-2.714E-05,0.160
-2.712E-05,0.000
-2.710E-05,0.080
-2.708E-05,0.080
-2.706E-05,0.080
-2.704E-05,0.160
-2.702E-05,0.080
-2.700E-05,0.000
-2.698E-05,0.160
-2.696E-05,0.080
-2.694E-05,0.080
-2.692E-05,0.080
-2.690E-05,0.080
-2.688E-05,0.160
-2.686E-05,0.160
-2.684E-05,0.080
-2.682E-05,0.160
-2.680E-05,0.080
-2.678E-05,0.080
-2.676E-05,0.080
-2.674E-05,0.080
-2.672E-05,0.160
-2.670E-05,0.160
-2.668E-05,0.080
-2.666E-05,0.080
-2.664E-05,0.160
-2.662E-05,0.160
-2.660E-05,0.080
-2.658E-05,0.160
-2.656E-05,0.080
-2.654E-05,0.080
-2.652E-05,0.240
-2.650E-05,0.080
-2.648E-05,0.160
-2.646E-05,0.000
-2.644E-05,0.080
-2.642E-05,0.080
-2.640E-05,0.080
-2.638E-05,0.080
-2.636E-05,0.080
-2.634E-05,0.000
-2.632E-05,0.080
-2.630E-05,0.080
-2.628E-05,0.080
-2.626E-05,0.160
-2.624E-05,0.080
-2.622E-05,0.080
-2.620E-05,0.160
-2.618E-05,0.160
